"MCQ260GB.Code.or.Value","MCQ260GB.Value.Description","MCQ260GB.Count","MCQ260GB.Cumulative","MCQ260GB.Skip.to.Item"
"2","Father",226,226,NA
".","Missing",10244,10470,NA
