"CBD730.Code.or.Value","CBD730.Value.Description","CBD730.Count","CBD730.Cumulative","CBD730.Skip.to.Item"
"1","Always",473,473,NA
"2","Most of the time",398,871,NA
"3","Sometimes",572,1443,NA
"4","Rarely",364,1807,NA
"5","Never",315,2122,NA
"6","Never buy these items",121,2243,NA
"7","Refused",0,2243,NA
"9","Don't know",0,2243,NA
".","Missing",702,2945,NA
