"LBDHPELC.Code.or.Value","LBDHPELC.Value.Description","LBDHPELC.Count","LBDHPELC.Cumulative","LBDHPELC.Skip.to.Item"
"0","detectable result",977,977,NA
"1","below detectable limit",1282,2259,NA
".","Missing",288,2547,NA
