"BIXS016K.Code.or.Value","BIXS016K.Value.Description","BIXS016K.Count","BIXS016K.Cumulative","BIXS016K.Skip.to.Item"
"281.41 to 1024.79","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
