"CFDFINSH.Code.or.Value","CFDFINSH.Value.Description","CFDFINSH.Count","CFDFINSH.Cumulative","CFDFINSH.Skip.to.Item"
"0 to 117","Range of Values",1417,1417,NA
".","Missing",417,1834,NA
