"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0 to 32.609","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
