"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",292,292,""
"2","No",3041,3333,"DRD350E"
".","Missing",5949,9282,""
