"LBCGHC.Code.or.Value","LBCGHC.Value.Description","LBCGHC.Count","LBCGHC.Cumulative","LBCGHC.Skip.to.Item"
"0.004 to 0.0056","Range of Values",247,247,NA
".","Missing",0,247,NA
