"DSQICALC.Code.or.Value","DSQICALC.Value.Description","DSQICALC.Count","DSQICALC.Cumulative","DSQICALC.Skip.to.Item"
"1.682 to 9000","Range of Values",3694,3694,NA
".","Missing",4706,8400,NA
