"DLQ020.Code.or.Value","DLQ020.Value.Description","DLQ020.Count","DLQ020.Cumulative","DLQ020.Skip.to.Item"
"1","Yes",418,418,NA
"2","No",9153,9571,NA
"7","Refused",0,9571,NA
"9","Don't know",4,9575,NA
".","Missing",0,9575,NA
