"BIXC015K.Code.or.Value","BIXC015K.Value.Description","BIXC015K.Count","BIXC015K.Cumulative","BIXC015K.Skip.to.Item"
"18.3 to 163.9","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
