"LBXPHE.Code.or.Value","LBXPHE.Value.Description","LBXPHE.Count","LBXPHE.Cumulative","LBXPHE.Skip.to.Item"
"0.31 to 168.92","Range of Values",7174,7174,NA
"0.21","Fill Value of Limit of Detection",94,7268,NA
".","Missing",714,7982,NA
