"OHD12LAM.Code.or.Value","OHD12LAM.Value.Description","OHD12LAM.Count","OHD12LAM.Cumulative","OHD12LAM.Skip.to.Item"
"0 to 8","Range of Values",2284,2284,NA
"99","Calculation cannot be determined",507,2791,NA
".","Missing",4339,7130,NA
