"TYXP107.Code.or.Value","TYXP107.Value.Description","TYXP107.Count","TYXP107.Cumulative","TYXP107.Skip.to.Item"
"-278 to 65","Range of Values",8452,8452,NA
".","Missing",17,8469,NA
