"URXANTT.Code.or.Value","URXANTT.Value.Description","URXANTT.Count","URXANTT.Cumulative","URXANTT.Skip.to.Item"
"0.28 to 269","Range of Values",977,977,NA
".","Missing",1485,2462,NA
