"DR1IS140.Code.or.Value","DR1IS140.Value.Description","DR1IS140.Count","DR1IS140.Cumulative","DR1IS140.Skip.to.Item"
"0 to 15.039","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
