"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 6.104","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
