"URD34MLC.Code.or.Value","URD34MLC.Value.Description","URD34MLC.Count","URD34MLC.Cumulative","URD34MLC.Skip.to.Item"
"0","At or above the detection limit",2351,2351,NA
"1","Below lower detection limit",5,2356,NA
".","Missing",106,2462,NA
