"SSCamIgA.Code.or.Value","SSCamIgA.Value.Description","SSCamIgA.Count","SSCamIgA.Cumulative","SSCamIgA.Skip.to.Item"
"0 to 2.796","Range of Values",1112,1112,NA
".","Missing",15,1127,NA
