"SSCYGWP.Code.or.Value","SSCYGWP.Value.Description","SSCYGWP.Count","SSCYGWP.Cumulative","SSCYGWP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
