"DR1IS160.Code.or.Value","DR1IS160.Value.Description","DR1IS160.Count","DR1IS160.Cumulative","DR1IS160.Skip.to.Item"
"0 to 42.583","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
