"DXXPEBMC.Code.or.Value","DXXPEBMC.Value.Description","DXXPEBMC.Count","DXXPEBMC.Cumulative","DXXPEBMC.Skip.to.Item"
"49.2 to 681.41","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
