"CIQP13P.Code.or.Value","CIQP13P.Value.Description","CIQP13P.Count","CIQP13P.Cumulative","CIQP13P.Skip.to.Item"
"1","Yes",31,31,NA
"2","No",86,117,NA
"7","Refused",0,117,NA
"9","Don't know",1,118,NA
".","Missing",810,928,NA
