"LBDGTCSI.Code.or.Value","LBDGTCSI.Value.Description","LBDGTCSI.Count","LBDGTCSI.Cumulative","LBDGTCSI.Skip.to.Item"
"0.336 to 45.878","Range of Values",7217,7217,NA
".","Missing",869,8086,NA
