"DID310D.Code.or.Value","DID310D.Value.Description","DID310D.Count","DID310D.Cumulative","DID310D.Skip.to.Item"
"10 to 140","Range of Values",210,210,NA
"6666","Provider did not specify goal",414,624,NA
"7777","Refused",0,624,NA
"9999","Don't know",145,769,NA
".","Missing",8897,9666,NA
