"RHQ460U.Code.or.Value","RHQ460U.Value.Description","RHQ460U.Count","RHQ460U.Cumulative","RHQ460U.Skip.to.Item"
"1","Months",444,444,NA
"2","Years",1203,1647,NA
"7","Refused",0,1647,NA
"9","Don't know",0,1647,NA
".","Missing",1651,3298,NA
