"RHQ030.Code.or.Value","RHQ030.Value.Description","RHQ030.Count","RHQ030.Cumulative","RHQ030.Skip.to.Item"
"1","Yes",1412,1412,"RHQ075"
"2","No",2008,3420,""
"7","Refused",0,3420,"RHQ050"
"9","Don't know",3,3423,"RHQ050"
".","Missing",442,3865,""
