"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.2 to 8.5","Range of Values",7970,7970,NA
".","Missing",862,8832,NA
