"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",315,315,"OSQ020b"
"2","No",2750,3065,""
"7","Refused",0,3065,""
"9","Don't know",3,3068,""
".","Missing",1,3069,""
