"URXCNP.Code.or.Value","URXCNP.Value.Description","URXCNP.Count","URXCNP.Cumulative","URXCNP.Skip.to.Item"
"0.14 to 603.3","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
