"DRASCST2.Code.or.Value","DRASCST2.Value.Description","DRASCST2.Count","DRASCST2.Cumulative","DRASCST2.Skip.to.Item"
"1","Complete",8855,8855,NA
"2","Partial",18,8873,NA
"3","Not done",406,9279,NA
".","Missing",3,9282,NA
