"AUXR4KL.Code.or.Value","AUXR4KL.Value.Description","AUXR4KL.Count","AUXR4KL.Cumulative","AUXR4KL.Skip.to.Item"
"15 to 65","Range of Values",2,2,NA
"666","No response",0,2,NA
"888","Could not obtain",0,2,NA
".","Missing",1208,1210,NA
