"DR2TMOIS.Code.or.Value","DR2TMOIS.Value.Description","DR2TMOIS.Count","DR2TMOIS.Cumulative","DR2TMOIS.Skip.to.Item"
"102.06 to 13123.16","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
