"LBXLA.Code.or.Value","LBXLA.Value.Description","LBXLA.Count","LBXLA.Cumulative","LBXLA.Skip.to.Item"
"0.34 to 93.76","Range of Values",4724,4724,NA
".","Missing",428,5152,NA
