"DR2IS160.Code.or.Value","DR2IS160.Value.Description","DR2IS160.Count","DR2IS160.Cumulative","DR2IS160.Skip.to.Item"
"0 to 41.503","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
