"ORXH51.Code.or.Value","ORXH51.Value.Description","ORXH51.Count","ORXH51.Cumulative","ORXH51.Skip.to.Item"
"1","Positive",13,13,NA
"2","Negative",4711,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
