"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",2022,2022,NA
"2","No",5238,7260,NA
".","Missing",2022,9282,NA
