"OSD030bd.Code.or.Value","OSD030bd.Value.Description","OSD030bd.Count","OSD030bd.Cumulative","OSD030bd.Skip.to.Item"
"9 to 50","Range of Values",4,4,NA
"80","80 or older",1,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",3810,3815,NA
