"LBCTCDLA.Code.or.Value","LBCTCDLA.Value.Description","LBCTCDLA.Count","LBCTCDLA.Cumulative","LBCTCDLA.Skip.to.Item"
"0.121 to 11.2","Range of Values",246,246,NA
".","Missing",1,247,NA
