"DBD411.Code.or.Value","DBD411.Value.Description","DBD411.Count","DBD411.Cumulative","DBD411.Skip.to.Item"
"1 to 5","Range of Values",1085,1085,""
"0","None",908,1993,"DBQ422"
"7777","Refused",0,1993,"DBQ422"
"9999","Don't know",11,2004,"DBQ422"
".","Missing",8533,10537,""
