"LBXVMC.Code.or.Value","LBXVMC.Value.Description","LBXVMC.Count","LBXVMC.Cumulative","LBXVMC.Skip.to.Item"
"0.1768 to 17.5","Range of Values",3122,3122,NA
".","Missing",325,3447,NA
