"URXDHB.Code.or.Value","URXDHB.Value.Description","URXDHB.Count","URXDHB.Cumulative","URXDHB.Skip.to.Item"
"19.7 to 4330","Range of Values",2116,2116,NA
".","Missing",346,2462,NA
