"LBXPFHS.Code.or.Value","LBXPFHS.Value.Description","LBXPFHS.Count","LBXPFHS.Cumulative","LBXPFHS.Skip.to.Item"
"0.07 to 23.3","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
