"LBXOD1.Code.or.Value","LBXOD1.Value.Description","LBXOD1.Count","LBXOD1.Cumulative","LBXOD1.Skip.to.Item"
"2.07 to 161","Range of Values",4516,4516,NA
".","Missing",907,5423,NA
