"DR2TACAR.Code.or.Value","DR2TACAR.Value.Description","DR2TACAR.Count","DR2TACAR.Cumulative","DR2TACAR.Skip.to.Item"
"0 to 23808","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
