"LBXVIE.Code.or.Value","LBXVIE.Value.Description","LBXVIE.Count","LBXVIE.Cumulative","LBXVIE.Skip.to.Item"
"120 to 7230.3","Range of Values",7401,7401,NA
".","Missing",1431,8832,NA
