"AUXRR283.Code.or.Value","AUXRR283.Value.Description","AUXRR283.Count","AUXRR283.Cumulative","AUXRR283.Skip.to.Item"
"-38 to 59","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
