"MCQ260GE.Code.or.Value","MCQ260GE.Value.Description","MCQ260GE.Count","MCQ260GE.Cumulative","MCQ260GE.Skip.to.Item"
"5","Father's mother",11,11,NA
".","Missing",9482,9493,NA
