"DR2IFA.Code.or.Value","DR2IFA.Value.Description","DR2IFA.Count","DR2IFA.Cumulative","DR2IFA.Skip.to.Item"
"0 to 2610","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
