"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",3187,3187,NA
"2","No",6067,9254,NA
".","Missing",0,9254,NA
