"TYXP254.Code.or.Value","TYXP254.Value.Description","TYXP254.Count","TYXP254.Cumulative","TYXP254.Skip.to.Item"
"-298 to -25","Range of Values",138,138,NA
".","Missing",8331,8469,NA
