"DR2IM181.Code.or.Value","DR2IM181.Value.Description","DR2IM181.Count","DR2IM181.Cumulative","DR2IM181.Skip.to.Item"
"0 to 67.65","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
