"SSGI1CM.Code.or.Value","SSGI1CM.Value.Description","SSGI1CM.Count","SSGI1CM.Cumulative","SSGI1CM.Skip.to.Item"
"0 to 100000","Range of Values",1035,1035,NA
".","Missing",1,1036,NA
