"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.84 to 1140","Range of Values",2277,2277,NA
".","Missing",72,2349,NA
