"TYXP228.Code.or.Value","TYXP228.Value.Description","TYXP228.Count","TYXP228.Cumulative","TYXP228.Skip.to.Item"
"-297 to -26","Range of Values",249,249,NA
".","Missing",8220,8469,NA
