"PFD069F.Code.or.Value","PFD069F.Value.Description","PFD069F.Count","PFD069F.Cumulative","PFD069F.Skip.to.Item"
"20 to 18250","Range of Values",135,135,NA
"66666","Since birth",0,135,NA
"77777","Refused",0,135,NA
"99999","Don't know",1,136,NA
".","Missing",9509,9645,NA
