"URXMBP.Code.or.Value","URXMBP.Value.Description","URXMBP.Count","URXMBP.Cumulative","URXMBP.Skip.to.Item"
"0.3 to 5143.2","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
