"ORXH26.Code.or.Value","ORXH26.Value.Description","ORXH26.Count","ORXH26.Cumulative","ORXH26.Skip.to.Item"
"1","Positive",1,1,NA
"2","Negative",4409,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
