"WBXF020.Code.or.Value","WBXF020.Value.Description","WBXF020.Count","WBXF020.Cumulative","WBXF020.Skip.to.Item"
"648.4198 to 648.4198","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
