"BIXC723K.Code.or.Value","BIXC723K.Value.Description","BIXC723K.Count","BIXC723K.Cumulative","BIXC723K.Skip.to.Item"
"8.78 to 2061.15","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
