"MCQ300c.Code.or.Value","MCQ300c.Value.Description","MCQ300c.Count","MCQ300c.Cumulative","MCQ300c.Skip.to.Item"
"1","Yes",2474,2474,NA
"2","No",3135,5609,NA
"7","Refused",2,5611,NA
"9","Don't know",108,5719,NA
".","Missing",3856,9575,NA
