"URDUTLLC.Code.or.Value","URDUTLLC.Value.Description","URDUTLLC.Count","URDUTLLC.Cumulative","URDUTLLC.Skip.to.Item"
"0","At or above the detection limit",2833,2833,NA
"1","Below lower detection limit",15,2848,NA
".","Missing",93,2941,NA
