"MSXGRAV.Code.or.Value","MSXGRAV.Value.Description","MSXGRAV.Count","MSXGRAV.Cumulative","MSXGRAV.Skip.to.Item"
"0 to 46","Range of Values",1480,1480,NA
".","Missing",676,2156,NA
