"PAXAISMH.Code.or.Value","PAXAISMH.Value.Description","PAXAISMH.Count","PAXAISMH.Cumulative","PAXAISMH.Skip.to.Item"
"0 to 288000","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
